"","Sample_ID","sample_type","extraction_ID","pcr_replicate","alt_ID","site","taxon","total_reads","MiSeq_run"
"1","e02112-A","sample","e02112","A","59","40","Boreogadus saida",8466,"A"
"2","e02112-A","sample","e02112","A","59","40","Gadus chalcogrammus",14810,"A"
"3","e02112-A","sample","e02112","A","59","40","Gadus macrocephalus",5004,"A"
"4","e02112-B","sample","e02112","B","59","40","Boreogadus saida",10794,"A"
"5","e02112-B","sample","e02112","B","59","40","Gadus chalcogrammus",13206,"A"
"6","e02112-B","sample","e02112","B","59","40","Gadus macrocephalus",5275,"A"
"7","e02112-C","sample","e02112","C","59","40","Boreogadus saida",6735,"A"
"8","e02112-C","sample","e02112","C","59","40","Gadus chalcogrammus",11470,"A"
"9","e02112-C","sample","e02112","C","59","40","Gadus macrocephalus",5309,"A"
"10","e02114-A","sample","e02114","A","423","47","Boreogadus saida",15263,"A"
"11","e02114-A","sample","e02114","A","423","47","Gadus chalcogrammus",7974,"A"
"12","e02114-B","sample","e02114","B","423","47","Boreogadus saida",17540,"A"
"13","e02114-B","sample","e02114","B","423","47","Gadus chalcogrammus",8340,"A"
"14","e02114-C","sample","e02114","C","423","47","Boreogadus saida",8299,"A"
"15","e02114-C","sample","e02114","C","423","47","Gadus chalcogrammus",4295,"A"
"16","e02116-A","sample","e02116","A","299","55","Boreogadus saida",0,"A"
"17","e02116-A","sample","e02116","A","299","55","Gadus chalcogrammus",16572,"A"
"18","e02116-A","sample","e02116","A","299","55","Gadus macrocephalus",13176,"A"
"19","e02116-B","sample","e02116","B","299","55","Boreogadus saida",0,"A"
"20","e02116-B","sample","e02116","B","299","55","Gadus chalcogrammus",25590,"A"
"21","e02116-B","sample","e02116","B","299","55","Gadus macrocephalus",16411,"A"
"22","e02116-C","sample","e02116","C","299","55","Boreogadus saida",122,"A"
"23","e02116-C","sample","e02116","C","299","55","Gadus chalcogrammus",16745,"A"
"24","e02116-C","sample","e02116","C","299","55","Gadus macrocephalus",14170,"A"
"25","e02118-A","sample","e02118","A","224","55","Boreogadus saida",293,"A"
"26","e02118-A","sample","e02118","A","224","55","Gadus chalcogrammus",17798,"A"
"27","e02118-A","sample","e02118","A","224","55","Gadus macrocephalus",11388,"A"
"28","e02118-B","sample","e02118","B","224","55","Boreogadus saida",205,"A"
"29","e02118-B","sample","e02118","B","224","55","Gadus chalcogrammus",31017,"A"
"30","e02118-B","sample","e02118","B","224","55","Gadus macrocephalus",12326,"A"
"31","e02118-C","sample","e02118","C","224","55","Boreogadus saida",0,"A"
"32","e02118-C","sample","e02118","C","224","55","Gadus chalcogrammus",15331,"A"
"33","e02118-C","sample","e02118","C","224","55","Gadus macrocephalus",7970,"A"
"34","e02120-A","sample","e02120","A","413","11","Boreogadus saida",4364,"A"
"35","e02120-A","sample","e02120","A","413","11","Gadus chalcogrammus",12610,"A"
"36","e02120-A","sample","e02120","A","413","11","Gadus macrocephalus",4896,"A"
"37","e02120-B","sample","e02120","B","413","11","Boreogadus saida",7539,"A"
"38","e02120-B","sample","e02120","B","413","11","Gadus chalcogrammus",16341,"A"
"39","e02120-B","sample","e02120","B","413","11","Gadus macrocephalus",6038,"A"
"40","e02120-C","sample","e02120","C","413","11","Boreogadus saida",5112,"A"
"41","e02120-C","sample","e02120","C","413","11","Gadus chalcogrammus",13415,"A"
"42","e02120-C","sample","e02120","C","413","11","Gadus macrocephalus",5820,"A"
"43","e02122-A","sample","e02122","A","213","40","Boreogadus saida",11336,"A"
"44","e02122-A","sample","e02122","A","213","40","Gadus chalcogrammus",12141,"A"
"45","e02122-A","sample","e02122","A","213","40","Gadus macrocephalus",6678,"A"
"46","e02122-B","sample","e02122","B","213","40","Boreogadus saida",19428,"A"
"47","e02122-B","sample","e02122","B","213","40","Gadus chalcogrammus",13858,"A"
"48","e02122-B","sample","e02122","B","213","40","Gadus macrocephalus",9205,"A"
"49","e02122-C","sample","e02122","C","213","40","Boreogadus saida",9692,"A"
"50","e02122-C","sample","e02122","C","213","40","Gadus chalcogrammus",9716,"A"
"51","e02122-C","sample","e02122","C","213","40","Gadus macrocephalus",10313,"A"
"52","e02124-A","sample","e02124","A","220","40","Boreogadus saida",10368,"A"
"53","e02124-A","sample","e02124","A","220","40","Gadus chalcogrammus",9415,"A"
"54","e02124-A","sample","e02124","A","220","40","Gadus macrocephalus",7802,"A"
"55","e02124-B","sample","e02124","B","220","40","Boreogadus saida",15641,"A"
"56","e02124-B","sample","e02124","B","220","40","Gadus chalcogrammus",13024,"A"
"57","e02124-B","sample","e02124","B","220","40","Gadus macrocephalus",9605,"A"
"58","e02124-C","sample","e02124","C","220","40","Boreogadus saida",8569,"A"
"59","e02124-C","sample","e02124","C","220","40","Gadus chalcogrammus",10210,"A"
"60","e02124-C","sample","e02124","C","220","40","Gadus macrocephalus",10279,"A"
"61","e02126-A","sample","e02126","A","273","47","Boreogadus saida",12369,"A"
"62","e02126-A","sample","e02126","A","273","47","Gadus chalcogrammus",7624,"A"
"63","e02126-B","sample","e02126","B","273","47","Boreogadus saida",22195,"A"
"64","e02126-B","sample","e02126","B","273","47","Gadus chalcogrammus",10416,"A"
"65","e02126-C","sample","e02126","C","273","47","Boreogadus saida",13582,"A"
"66","e02126-C","sample","e02126","C","273","47","Gadus chalcogrammus",9944,"A"
"67","e02129-A","sample","e02129","A","275","47","Boreogadus saida",17740,"A"
"68","e02129-A","sample","e02129","A","275","47","Gadus chalcogrammus",9620,"A"
"69","e02129-B","sample","e02129","B","275","47","Boreogadus saida",27748,"A"
"70","e02129-B","sample","e02129","B","275","47","Gadus chalcogrammus",12946,"A"
"71","e02129-C","sample","e02129","C","275","47","Boreogadus saida",15387,"A"
"72","e02129-C","sample","e02129","C","275","47","Gadus chalcogrammus",8914,"A"
"73","e02131-A","sample","e02131","A","495","11","Boreogadus saida",4761,"A"
"74","e02131-A","sample","e02131","A","495","11","Gadus chalcogrammus",17352,"A"
"75","e02131-A","sample","e02131","A","495","11","Gadus macrocephalus",3258,"A"
"76","e02131-B","sample","e02131","B","495","11","Boreogadus saida",7886,"A"
"77","e02131-B","sample","e02131","B","495","11","Gadus chalcogrammus",27532,"A"
"78","e02131-B","sample","e02131","B","495","11","Gadus macrocephalus",4345,"A"
"79","e02131-C","sample","e02131","C","495","11","Boreogadus saida",2147,"A"
"80","e02131-C","sample","e02131","C","495","11","Gadus chalcogrammus",12328,"A"
"81","e02131-C","sample","e02131","C","495","11","Gadus macrocephalus",2855,"A"
"82","e02133-A","sample","e02133","A","141","86","Boreogadus saida",19317,"A"
"83","e02133-A","sample","e02133","A","141","86","Gadus macrocephalus",1614,"A"
"84","e02133-B","sample","e02133","B","141","86","Boreogadus saida",40274,"A"
"85","e02133-B","sample","e02133","B","141","86","Gadus macrocephalus",2020,"A"
"86","e02133-C","sample","e02133","C","141","86","Boreogadus saida",8188,"A"
