"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"10","Boreogadus saida",9,0,0,0.00015284686606483,0.000262925544285515,9.05688674379285e-07,1.20350437615145e-06,0.000433684900890659
"10","Gadus chalcogrammus",9,0,0,0.101075856833886,0.0178140558667549,0.0893252756862635,0.0925160845963393,0.120102244383424
"10","Gadus macrocephalus",9,0,0,0.898771220552122,0.0176628729297269,0.879896786236874,0.907482621470074,0.910240964087112
"11","Boreogadus saida",9,0,0,0.208800720277299,0.0332460487824929,0.182611644459867,0.198716931480848,0.243561016571714
"11","Gadus chalcogrammus",9,0,0,0.639602363709337,0.0938207591750755,0.542284295315276,0.664467925879673,0.715784704258613
"11","Gadus macrocephalus",9,0,0,0.151596848029583,0.0606048060753078,0.10160359894384,0.136815064831713,0.214154612833515
"14","Boreogadus saida",9,0,0,1.29294498738745e-06,1.47053110769771e-07,1.13575086956115e-06,1.3744643666841e-06,1.38084763281159e-06
"14","Gadus chalcogrammus",9,0,0,0.991610912666315,0.00823020212975546,0.982830750071975,0.995391883273699,0.99717725024438
"14","Gadus macrocephalus",9,0,0,0.0083877639619584,0.00823014584718838,0.00282134909360216,0.00460696676865237,0.0171678564446248
"17","Boreogadus saida",9,1,0,0.294011719314047,0.0409201480525755,0.250484871942189,0.311307152529687,0.322837448452611
"17","Gadus chalcogrammus",9,1,0,0.705767114970599,0.041059453311433,0.677126289767326,0.688036758890621,0.749478742841854
"17","Gadus macrocephalus",9,1,0,0.000221156865303752,0.000376645394733013,3.64125151601354e-06,3.7664342333683e-06,0.000623454345501315
"18","Boreogadus saida",5,2,1,0.355719161007078,0.54230309378133,0.00437200119209528,0.0872606899079052,0.935256021256358
"18","Gadus chalcogrammus",5,2,1,0.637003932439721,0.535251200453221,0.0647366950462819,0.912712978782872,0.974918480441483
"18","Gadus macrocephalus",5,2,1,0.00727683933250073,0.0125756594356196,7.27535697752612e-06,2.62878413625699e-05,0.0207093720754914
"2","Boreogadus saida",9,0,0,0.0400651543053215,0.010602190292938,0.0298262099772818,0.040470786749141,0.0499593110561146
"2","Gadus chalcogrammus",9,0,0,0.876812799113694,0.0254136998346802,0.850226079503602,0.884598595232693,0.896781592022637
"2","Gadus macrocephalus",9,0,0,0.0831219751593746,0.0156113735571377,0.0733921488526225,0.0749305721368169,0.0998144940353008
"22","Boreogadus saida",9,0,0,0.994689617860208,0.00915822613691301,0.984906705030276,0.999955991518613,0.999996113080494
"22","Gadus chalcogrammus",9,0,0,0.00530872536356634,0.00915766929490396,2.59330951454059e-06,4.26267659400803e-05,0.0150910412256005
"22","Gadus macrocephalus",9,0,0,1.65547264805591e-06,5.57247065137525e-07,1.29320507663341e-06,1.38113774991663e-06,2.25092488289679e-06
"24","Boreogadus saida",9,0,0,1.49598881673314e-06,1.47537639839942e-07,1.33830701917536e-06,1.56946011176652e-06,1.59122001351256e-06
