"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"10","Boreogadus saida",9,0,0,0.000258043858118869,0.000446945072842976,0,0,0.000735424995638777
"10","Gadus chalcogrammus",9,0,0,0.0874651082644148,0.0167103698985538,0.0751837924873626,0.0811003372165253,0.105156479432173
"10","Gadus macrocephalus",9,0,0,0.912276847877466,0.0164221741985237,0.894843520567827,0.918899662783475,0.924080782516998
"11","Boreogadus saida",9,0,0,0.179088675056352,0.0374076585565575,0.148806143748261,0.169025459755246,0.217924939370382
"11","Gadus chalcogrammus",9,0,0,0.671453373558978,0.103052250111494,0.564895570096039,0.697344188105674,0.756003984657226
"11","Gadus macrocephalus",9,0,0,0.14945795138467,0.0656519210443697,0.0951898715945117,0.13363035213908,0.217179490533579
"14","Boreogadus saida",9,0,0,0,0,0,0,0
"14","Gadus chalcogrammus",9,0,0,0.993152519628077,0.00671901634716865,0.985982679429573,0.996267059802883,0.997675000677997
"14","Gadus macrocephalus",9,0,0,0.00684748037192267,0.00671901634716865,0.00232499932200286,0.00373294019711693,0.0140173205704273
"17","Boreogadus saida",9,1,0,0.266036409622253,0.0431188513503636,0.220709970551701,0.280403347776207,0.299150951261944
"17","Gadus chalcogrammus",9,1,0,0.733536548687634,0.0433380696414031,0.700784992484539,0.718315527153452,0.779225973194782
"17","Gadus macrocephalus",9,1,0,0.000427041690113797,0.00073965790422718,0,0,0.00121706881682432
"18","Boreogadus saida",5,2,1,0.270305728442036,0.440531645589958,0.00161353249359046,0.0322706498718092,0.741327741175176
"18","Gadus chalcogrammus",5,2,1,0.6692539099365,0.394987486863606,0.251219737075195,0.818678915135608,0.960276828378562
"18","Gadus macrocephalus",5,2,1,0.060440361621464,0.104685777156212,0,0,0.172255030621172
"2","Boreogadus saida",9,0,0,0.0268678858628206,0.00693550884289463,0.0205813297062848,0.0262093787882879,0.0337141730327092
"2","Gadus chalcogrammus",9,0,0,0.899708583845836,0.0217469416358985,0.876646368185209,0.908284550072608,0.915481228213706
"2","Gadus macrocephalus",9,0,0,0.0734235302913436,0.0151659010215658,0.0639374420800088,0.0655060711391037,0.0896394587820822
"22","Boreogadus saida",9,0,0,0.996939392806536,0.00523997800837882,0.991340941644958,0.999929253170744,0.999996462658537
"22","Gadus chalcogrammus",9,0,0,0.00306060719346406,0.00523997800837914,3.53734146278717e-06,7.07468292557434e-05,0.00865905835504242
"22","Gadus macrocephalus",9,0,0,0,0,0,0,0
"24","Boreogadus saida",9,0,0,0,0,0,0,0
"24","Gadus chalcogrammus",9,0,0,0.154731876413149,0.0876317322271709,0.0861490750701813,0.127465791320671,0.246490850084724
"24","Gadus macrocephalus",9,0,0,0.845268123586851,0.0876317322271707,0.753509149915276,0.872534208679329,0.913850924929818
"3","Boreogadus saida",9,1,0,0.155606081013575,0.00678601222529686,0.151592955527043,0.151794989965775,0.162858633890737
"3","Gadus chalcogrammus",9,1,0,0.844393918986425,0.00678601222529687,0.837141366109263,0.848205010034225,0.848407044472957
"3","Gadus macrocephalus",9,1,0,0,0,0,0,0
"30","Boreogadus saida",9,0,0,0,0,0,0,0
"30","Gadus chalcogrammus",9,0,0,0.656373915943838,0.0242717063285915,0.630514796789041,0.667074903883315,0.673137195350081
"30","Gadus macrocephalus",9,0,0,0.343626084056162,0.0242717063285915,0.326862804649919,0.332925096116685,0.369485203210959
"32","Boreogadus saida",9,0,0,0,0,0,0,0
"32","Gadus chalcogrammus",9,0,0,0.190242758443773,0.0970954146641192,0.0925347450958083,0.204993885730991,0.275412313597602
"32","Gadus macrocephalus",9,0,0,0.809757241556227,0.0970954146641194,0.724587686402398,0.795006114269009,0.907465254904192
"34","Boreogadus saida",9,0,0,0,0,0,0,0
"34","Gadus chalcogrammus",9,0,0,1,0,1,1,1
"34","Gadus macrocephalus",9,0,0,0,0,0,0,0
"38","Boreogadus saida",9,3,0,0.5250350915867,0.222738356683763,0.300769578467699,0.559261004984873,0.720208578317254
"38","Gadus chalcogrammus",9,3,0,0,0,0,0,0
"38","Gadus macrocephalus",9,3,0,0.4749649084133,0.222738356683763,0.279791421682746,0.440738995015127,0.699230421532302
"39","Boreogadus saida",9,0,0,0.109943118774243,0.0115938578385296,0.100995582834438,0.106145201615487,0.122118884298992
"39","Gadus chalcogrammus",9,0,0,0.5530682294546,0.0302066774896787,0.520795414532957,0.567815363711809,0.572805980257614
"39","Gadus macrocephalus",9,0,0,0.336988651771157,0.0188198390366041,0.326047803211401,0.326206805446645,0.357094069706748
"40","Boreogadus saida",9,2,1,0.354799987432775,0.0344006252623776,0.320248900505468,0.359816916343761,0.385086684785743
"40","Gadus chalcogrammus",9,2,1,0.394583093039227,0.0805823909723428,0.344709111769204,0.351888783886451,0.48074723708911
"40","Gadus macrocephalus",9,2,1,0.250616919527999,0.0516721218314601,0.197673874592687,0.26169454351507,0.2941439840743
"41","Boreogadus saida",9,2,0,0.468923881315861,0.101684244825455,0.360212888472688,0.524631271093561,0.530283592847989
"41","Gadus chalcogrammus",9,2,0,0.531076118684139,0.101684244825455,0.469716407152011,0.475368728906439,0.639787111527312
"41","Gadus macrocephalus",9,2,0,0,0,0,0,0
"42","Boreogadus saida",9,0,0,0,0,0,0,0
"42","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"42","Gadus macrocephalus",9,0,0,1,0,1,1,1
"43","Boreogadus saida",9,0,0,0,0,0,0,0
"43","Gadus chalcogrammus",9,0,0,0.00797652080762518,0.00372971061460131,0.0041937938415911,0.00863940241720592,0.0111957984055156
"43","Gadus macrocephalus",9,0,0,0.992023479192375,0.00372971061460103,0.988804201594484,0.991360597582794,0.995806206158409
"45","Boreogadus saida",9,0,0,0.057736516869135,0.0147432752136635,0.0481419576638247,0.0504905596430416,0.0734901397166248
"45","Gadus chalcogrammus",9,0,0,0.540167134552999,0.105142850433766,0.428099627393736,0.587105395327649,0.61233712005381
"45","Gadus macrocephalus",9,0,0,0.402096348577866,0.0907775879735712,0.337295930933633,0.364876257639011,0.498533843520125
"46","Boreogadus saida",9,0,0,0.165008407234881,0.0110102474947421,0.156104550756246,0.162031642657175,0.176442513604565
"46","Gadus chalcogrammus",9,0,0,0.148568717509858,0.0430434352252342,0.122610042797538,0.12497002199975,0.194586283405769
"46","Gadus macrocephalus",9,0,0,0.686422875255261,0.0415395725377179,0.642747816476783,0.700313186137624,0.718291169783731
