"","community","tech_rep","ID_gadid","nReads","start_conc_ng","Cycles"
"1","even","1","Arctogadus glacialis",2254,20,35
"2","even","1","Boreogadus saida",1252,20,35
"3","even","1","Eleginus gracilis",1340,20,35
"4","even","1","Gadus chalcogrammus",4098,20,35
"5","even","1","Gadus macrocephalus",2147,20,35
"6","even","1","Microgadus proximus",4264,20,35
"7","north1","1","Arctogadus glacialis",3839,100,35
"8","north1","1","Boreogadus saida",3071,200,35
"9","north1","1","Eleginus gracilis",220,20,35
"10","north1","1","Gadus chalcogrammus",2131,40,35
"11","north1","1","Gadus macrocephalus",701,20,35
"12","north1","1","Microgadus proximus",1523,20,35
"13","north2","1","Arctogadus glacialis",1305,40,35
"14","north2","1","Boreogadus saida",2240,200,35
"15","north2","1","Eleginus gracilis",437,20,35
"16","north2","1","Gadus chalcogrammus",3667,100,35
"17","north2","1","Gadus macrocephalus",332,20,35
"18","north2","1","Microgadus proximus",715,20,35
"19","south1","1","Arctogadus glacialis",130,20,35
"20","south1","1","Boreogadus saida",275,40,35
"21","south1","1","Eleginus gracilis",204,20,35
"22","south1","1","Gadus chalcogrammus",3240,200,35
"23","south1","1","Gadus macrocephalus",931,100,35
"24","south1","1","Microgadus proximus",190,20,35
"25","south2","1","Arctogadus glacialis",642,20,35
"26","south2","1","Boreogadus saida",235,20,35
"27","south2","1","Eleginus gracilis",1094,100,35
"28","south2","1","Gadus chalcogrammus",6247,200,35
"29","south2","1","Gadus macrocephalus",929,40,35
"30","south2","1","Microgadus proximus",1835,20,35
"31","middle","1","Arctogadus glacialis",483,20,35
"32","middle","1","Boreogadus saida",508,40,35
"33","middle","1","Eleginus gracilis",311,20,35
"34","middle","1","Gadus chalcogrammus",4382,100,35
"35","middle","1","Gadus macrocephalus",3355,200,35
"36","middle","1","Microgadus proximus",1019,20,35
"37","even","2","Arctogadus glacialis",2165,20,35
"38","even","2","Boreogadus saida",1133,20,35
"39","even","2","Eleginus gracilis",1120,20,35
"40","even","2","Gadus chalcogrammus",3156,20,35
"41","even","2","Gadus macrocephalus",1541,20,35
"42","even","2","Microgadus proximus",3730,20,35
"43","north1","2","Arctogadus glacialis",4694,100,35
"44","north1","2","Boreogadus saida",2531,200,35
"45","north1","2","Eleginus gracilis",375,20,35
"46","north1","2","Gadus chalcogrammus",2624,40,35
"47","north1","2","Gadus macrocephalus",1548,20,35
"48","north1","2","Microgadus proximus",2684,20,35
"49","north2","2","Arctogadus glacialis",1274,40,35
"50","north2","2","Boreogadus saida",3381,200,35
"51","north2","2","Eleginus gracilis",564,20,35
"52","north2","2","Gadus chalcogrammus",4035,100,35
"53","north2","2","Gadus macrocephalus",576,20,35
"54","north2","2","Microgadus proximus",1532,20,35
"55","south1","2","Arctogadus glacialis",872,20,35
"56","south1","2","Boreogadus saida",725,40,35
"57","south1","2","Eleginus gracilis",823,20,35
"58","south1","2","Gadus chalcogrammus",8848,200,35
"59","south1","2","Gadus macrocephalus",2741,100,35
"60","south1","2","Microgadus proximus",407,20,35
"61","south2","2","Arctogadus glacialis",430,20,35
"62","south2","2","Boreogadus saida",34,20,35
"63","south2","2","Eleginus gracilis",684,100,35
"64","south2","2","Gadus chalcogrammus",2497,200,35
"65","south2","2","Gadus macrocephalus",625,40,35
"66","south2","2","Microgadus proximus",335,20,35
"67","middle","2","Arctogadus glacialis",549,20,35
"68","middle","2","Boreogadus saida",861,40,35
"69","middle","2","Eleginus gracilis",198,20,35
"70","middle","2","Gadus chalcogrammus",4168,100,35
"71","middle","2","Gadus macrocephalus",4196,200,35
"72","middle","2","Microgadus proximus",1363,20,35
"73","even","3","Arctogadus glacialis",2443,20,35
"74","even","3","Boreogadus saida",1133,20,35
"75","even","3","Eleginus gracilis",1974,20,35
"76","even","3","Gadus chalcogrammus",2628,20,35
"77","even","3","Gadus macrocephalus",1339,20,35
"78","even","3","Microgadus proximus",5365,20,35
"79","north1","3","Arctogadus glacialis",3832,100,35
"80","north1","3","Boreogadus saida",3729,200,35
"81","north1","3","Eleginus gracilis",324,20,35
"82","north1","3","Gadus chalcogrammus",2708,40,35
"83","north1","3","Gadus macrocephalus",799,20,35
"84","north1","3","Microgadus proximus",1580,20,35
"85","north2","3","Arctogadus glacialis",2173,40,35
"86","north2","3","Boreogadus saida",4931,200,35
"87","north2","3","Eleginus gracilis",549,20,35
"88","north2","3","Gadus chalcogrammus",6581,100,35
"89","north2","3","Gadus macrocephalus",658,20,35
"90","north2","3","Microgadus proximus",1735,20,35
"91","south1","3","Arctogadus glacialis",64,20,35
"92","south1","3","Boreogadus saida",70,40,35
"93","south1","3","Eleginus gracilis",34,20,35
"94","south1","3","Gadus chalcogrammus",931,200,35
"95","south1","3","Gadus macrocephalus",196,100,35
"96","south1","3","Microgadus proximus",20,20,35
"97","south2","3","Arctogadus glacialis",498,20,35
"98","south2","3","Boreogadus saida",454,20,35
"99","south2","3","Eleginus gracilis",2494,100,35
"100","south2","3","Gadus chalcogrammus",6838,200,35
"101","south2","3","Gadus macrocephalus",1075,40,35
"102","south2","3","Microgadus proximus",2066,20,35
"103","middle","3","Arctogadus glacialis",374,20,35
"104","middle","3","Boreogadus saida",487,40,35
"105","middle","3","Eleginus gracilis",280,20,35
"106","middle","3","Gadus chalcogrammus",5114,100,35
"107","middle","3","Gadus macrocephalus",4499,200,35
"108","middle","3","Microgadus proximus",721,20,35
