sampleID,date,groupID,lab,TankDesig,tankVolL,FlowRateL/s,TankOverturnHours,TankOverturnDays,Temp,Fish_pres,N_spp,AC_pres,PC_pres,WP_pres,AC_biomass,PC_biomass,WP_biomass,Tot_biomass,AC_Fbiomass,PC_Fbiomass,WP_Fbiomass,AC_age,PC_age,WP_age,AC_N,PC_N,WP_N,TankTime,DaysSinceAC,DaysSincePC,DaysSinceWP
388,2/1/2023,67,Pole Barn,Age 7 Pcod,15000,0.2,20.83333333,0.868055556,3.9,1,1,0,1,0,0,34000,0,34000,0,1,0,NA,7,NA,NA,17,NA,>four years,50,0,50
368,2/1/2023,67,Pole Barn,Age 7 Pcod,15000,0.2,20.83333333,0.868055556,3.9,1,1,0,1,0,0,34000,0,34000,0,1,0,NA,7,NA,NA,17,NA,>four years,50,0,50
89,2/1/2023,67,Pole Barn,Age 7 Pcod,15000,0.2,20.83333333,0.868055556,3.9,1,1,0,1,0,0,34000,0,34000,0,1,0,NA,7,NA,NA,17,NA,>four years,50,0,50
107,12/6/2022,T,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,7/25/2023,63,Pole Barn,Age 2 Pcod,15000,0.5,8.333333333,0.347222222,9.5,1,1,0,1,0,0,29700,0,29700,0,1,0,NA,2,NA,NA,54,NA,present in tank for years; over a week in this temp range,50,0,50
64,7/25/2023,63,Pole Barn,Age 2 Pcod,15000,0.5,8.333333333,0.347222222,9.5,1,1,0,1,0,0,29700,0,29700,0,1,0,NA,2,NA,NA,54,NA,present in tank for years; over a week in this temp range,50,0,50
251,7/25/2023,63,Pole Barn,Age 2 Pcod,15000,0.5,8.333333333,0.347222222,9.5,1,1,0,1,0,0,29700,0,29700,0,1,0,NA,2,NA,NA,54,NA,present in tank for years; over a week in this temp range,50,0,50
300,2/1/2023,87,Arena,Age1 Pcod,7500,0.2,10.41666667,0.434027778,5.3,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,1.5,NA,NA,57,NA,>four years,50,0,50
133,2/1/2023,87,Arena,Age1 Pcod,7500,0.2,10.41666667,0.434027778,5.3,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,1.5,NA,NA,57,NA,>four years,50,0,50
384,2/1/2023,87,Arena,Age1 Pcod,7500,0.2,10.41666667,0.434027778,5.3,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,1.5,NA,NA,57,NA,>four years,50,0,50
489,4/17/2023,60,Pole Barn,15',15000,0.5,8.333333333,0.347222222,5.4,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,2,NA,NA,57,NA,3 days,50,0,50
466,4/17/2023,60,Pole Barn,15',15000,0.5,8.333333333,0.347222222,5.4,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,2,NA,NA,57,NA,3 days,50,0,50
219,4/17/2023,60,Pole Barn,15',15000,0.5,8.333333333,0.347222222,5.4,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,2,NA,NA,57,NA,3 days,50,0,50
109,7/25/2023,22,Arena,T1 ,7500,0.3,6.944444444,0.289351852,6.3,1,1,1,0,0,7000,0,0,7000,1,0,0,4,NA,NA,70,NA,NA,present in tank for years; over a week in this temp range,0,50,50
65,7/25/2023,22,Arena,T1 ,7500,0.3,6.944444444,0.289351852,6.3,1,1,1,0,0,7000,0,0,7000,1,0,0,4,NA,NA,70,NA,NA,present in tank for years; over a week in this temp range,0,50,50
