Plate,Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Y-Intercept,R(superscript 2),Slope,Amp Score,Cq Conf,Amp Status,HIGHSD
20240213_1,2,A2,FALSE,Sample 1,GACH,UNKNOWN,CY5,NFQ-MGB,34.36,34.36,0.01,57.56,57.37,0.26,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.379,0.989,Amp,N
20240213_1,2,A2,FALSE,Sample 1,MOA,UNKNOWN,VIC,NFQ-MGB,30.61,30.59,0.03,,,,TRUE,0.251,TRUE,3,25,,,,,1.393,0.96,Amp,N
20240213_1,3,A3,FALSE,Sample 1,GACH,UNKNOWN,CY5,NFQ-MGB,34.36,34.36,0.01,57.19,57.37,0.26,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.357,0.99,Amp,N
20240213_1,3,A3,FALSE,Sample 1,MOA,UNKNOWN,VIC,NFQ-MGB,30.57,30.59,0.03,,,,TRUE,0.251,TRUE,3,25,,,,,1.392,0.957,Amp,N
20240213_1,4,A4,FALSE,Sample 9,GACH,UNKNOWN,CY5,NFQ-MGB,34.49,34.51,0.13,52.16,51.30,4.82,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.367,0.988,Amp,N
20240213_1,4,A4,FALSE,Sample 9,MOA,UNKNOWN,VIC,NFQ-MGB,31.09,31.13,0.34,,,,TRUE,0.251,TRUE,3,25,,,,,1.379,0.958,Amp,N
20240213_1,5,A5,FALSE,Sample 9,GACH,UNKNOWN,CY5,NFQ-MGB,34.65,34.51,0.13,46.11,51.30,4.82,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.35,0.988,Amp,N
20240213_1,5,A5,FALSE,Sample 9,MOA,UNKNOWN,VIC,NFQ-MGB,31.48,31.13,0.34,,,,TRUE,0.251,TRUE,3,26,,,,,1.379,0.96,Amp,N
20240213_1,6,A6,FALSE,Sample 9,GACH,UNKNOWN,CY5,NFQ-MGB,34.40,34.51,0.13,55.64,51.30,4.82,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.352,0.986,Amp,N
20240213_1,6,A6,FALSE,Sample 9,MOA,UNKNOWN,VIC,NFQ-MGB,30.81,31.13,0.34,,,,TRUE,0.251,TRUE,3,25,,,,,1.384,0.961,Amp,N
20240213_1,7,A7,FALSE,Sample 17,GACH,UNKNOWN,CY5,NFQ-MGB,35.99,36.41,0.51,16.88,12.84,4.46,TRUE,0.121,TRUE,3,31,,39.755,0.982,-3.068,1.251,0.981,Amp,N
20240213_1,7,A7,FALSE,Sample 17,MOA,UNKNOWN,VIC,NFQ-MGB,30.82,31.02,0.43,,,,TRUE,0.251,TRUE,3,25,,,,,1.383,0.964,Amp,N
20240213_1,8,A8,FALSE,Sample 17,GACH,UNKNOWN,CY5,NFQ-MGB,36.98,36.41,0.51,8.05,12.84,4.46,TRUE,0.121,TRUE,3,32,,39.755,0.982,-3.068,1.171,0.973,Inconclusive,N
20240213_1,8,A8,FALSE,Sample 17,MOA,UNKNOWN,VIC,NFQ-MGB,31.51,31.02,0.43,,,,TRUE,0.251,TRUE,3,26,,,,,1.385,0.964,Amp,N
20240213_1,9,A9,FALSE,Sample 17,GACH,UNKNOWN,CY5,NFQ-MGB,36.28,36.41,0.51,13.60,12.84,4.46,TRUE,0.121,TRUE,3,31,,39.755,0.982,-3.068,1.236,0.976,Amp,N
20240213_1,9,A9,FALSE,Sample 17,MOA,UNKNOWN,VIC,NFQ-MGB,30.72,31.02,0.43,,,,TRUE,0.251,TRUE,3,25,,,,,1.384,0.966,Amp,N
20240213_1,10,A10,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,20.05,20.79,0.81,2000000.00,,,TRUE,0.121,TRUE,3,15,,39.755,0.982,-3.068,1.416,0.995,Amp,N
20240213_1,10,A10,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,30.21,30.73,0.66,,,,TRUE,0.251,TRUE,3,24,,,,,1.366,0.96,Amp,N
20240213_1,11,A11,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,20.66,20.79,0.81,2000000.00,,,TRUE,0.121,TRUE,3,16,,39.755,0.982,-3.068,1.385,0.996,Amp,N
20240213_1,11,A11,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,30.51,30.73,0.66,,,,TRUE,0.251,TRUE,3,24,,,,,1.347,0.96,Amp,N
20240213_1,12,A12,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,21.65,20.79,0.81,2000000.00,,,TRUE,0.121,TRUE,3,17,,39.755,0.982,-3.068,1.386,0.994,Amp,N
20240213_1,12,A12,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,31.47,30.73,0.66,,,,TRUE,0.251,TRUE,3,25,,,,,1.36,0.957,Amp,N
20240213_1,13,B1,FALSE,Sample 2,GACH,UNKNOWN,CY5,NFQ-MGB,35.14,34.31,0.73,31.89,65.18,29.37,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.29,0.983,Amp,N
20240213_1,13,B1,FALSE,Sample 2,MOA,UNKNOWN,VIC,NFQ-MGB,30.56,30.01,0.48,,,,TRUE,0.251,TRUE,3,25,,,,,1.397,0.963,Amp,N
20240213_1,14,B2,FALSE,Sample 2,GACH,UNKNOWN,CY5,NFQ-MGB,33.98,34.31,0.73,76.25,65.18,29.37,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.254,0.986,Amp,N
20240213_1,14,B2,FALSE,Sample 2,MOA,UNKNOWN,VIC,NFQ-MGB,29.80,30.01,0.48,,,,TRUE,0.251,TRUE,3,24,,,,,1.385,0.954,Amp,N
20240213_1,15,B3,FALSE,Sample 2,GACH,UNKNOWN,CY5,NFQ-MGB,33.80,34.31,0.73,87.41,65.18,29.37,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.379,0.992,Amp,N
20240213_1,15,B3,FALSE,Sample 2,MOA,UNKNOWN,VIC,NFQ-MGB,29.67,30.01,0.48,,,,TRUE,0.251,TRUE,3,24,,,,,1.398,0.966,Amp,N
20240213_1,16,B4,FALSE,Sample 10,GACH,UNKNOWN,CY5,NFQ-MGB,31.94,31.92,0.17,353.60,358.82,44.70,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.424,0.994,Amp,N
20240213_1,16,B4,FALSE,Sample 10,MOA,UNKNOWN,VIC,NFQ-MGB,29.61,29.63,0.02,,,,TRUE,0.251,TRUE,3,24,,,,,1.392,0.964,Amp,N
20240213_1,17,B5,FALSE,Sample 10,GACH,UNKNOWN,CY5,NFQ-MGB,32.08,31.92,0.17,316.95,358.82,44.70,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.443,0.993,Amp,N
20240213_1,17,B5,FALSE,Sample 10,MOA,UNKNOWN,VIC,NFQ-MGB,29.65,29.63,0.02,,,,TRUE,0.251,TRUE,3,24,,,,,1.403,0.968,Amp,N
20240213_1,18,B6,FALSE,Sample 10,GACH,UNKNOWN,CY5,NFQ-MGB,31.75,31.92,0.17,405.90,358.82,44.70,TRUE,0.121,TRUE,3,27,,39.755,0.982,-3.068,1.396,0.992,Amp,N
20240213_1,18,B6,FALSE,Sample 10,MOA,UNKNOWN,VIC,NFQ-MGB,29.62,29.63,0.02,,,,TRUE,0.251,TRUE,3,24,,,,,1.392,0.957,Amp,N
20240213_1,20,B8,FALSE,Sample 18,GACH,UNKNOWN,CY5,NFQ-MGB,34.62,34.24,0.54,47.15,65.33,25.71,TRUE,0.121,TRUE,3,30,,39.755,0.982,-3.068,1.371,0.987,Amp,N
20240213_1,20,B8,FALSE,Sample 18,MOA,UNKNOWN,VIC,NFQ-MGB,29.91,29.78,0.18,,,,TRUE,0.251,TRUE,3,24,,,,,1.392,0.966,Amp,N
20240213_1,21,B9,FALSE,Sample 18,GACH,UNKNOWN,CY5,NFQ-MGB,33.86,34.24,0.54,83.51,65.33,25.71,TRUE,0.121,TRUE,3,29,,39.755,0.982,-3.068,1.406,0.991,Amp,N
20240213_1,21,B9,FALSE,Sample 18,MOA,UNKNOWN,VIC,NFQ-MGB,29.66,29.78,0.18,,,,TRUE,0.251,TRUE,3,24,,,,,1.399,0.967,Amp,N
20240213_1,22,B10,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,22.52,23.34,0.72,200000.00,,,TRUE,0.121,TRUE,3,17,,39.755,0.982,-3.068,1.435,0.995,Amp,N
20240213_1,22,B10,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,29.51,29.94,0.38,,,,TRUE,0.251,TRUE,3,24,,,,,1.377,0.965,Amp,N
20240213_1,23,B11,FALSE,,GACH,STANDARD,CY5,NFQ-MGB,23.86,23.34,0.72,200000.00,,,TRUE,0.121,TRUE,3,19,,39.755,0.982,-3.068,1.414,0.996,Amp,N
20240213_1,23,B11,FALSE,,MOA,UNKNOWN,VIC,NFQ-MGB,30.04,29.94,0.38,,,,TRUE,0.251,TRUE,3,24,,,,,1.358,0.959,Amp,N
