"","date","TankID","lab","TankDesig","tankVolL","FlowRateL.s","TankOverturnHours","TankOverturnDays","Temp","Fish_pres","N_spp","AC_pres","PC_pres","WP_pres","AC_biomass","PC_biomass","WP_biomass","Tot_biomass","AC_Fbiomass","PC_Fbiomass","WP_Fbiomass","AC_age","PC_age","WP_age","AC_N","PC_N","WP_N","TankTime","DaysSinceAC","DaysSincePC","DaysSinceWP"
"1","2/1/2023","67","Pole Barn","Age 7 Pcod",15000,0.2,20.83333333,0.868055556,3.9,1,1,0,1,0,0,34000,0,34000,0,1,0,NA,7,NA,NA,17,NA,">four years",50,0,50
"2","7/25/2023","63","Pole Barn","Age 2 Pcod",15000,0.5,8.333333333,0.347222222,9.5,1,1,0,1,0,0,29700,0,29700,0,1,0,NA,2,NA,NA,54,NA,"present in tank for years; over a week in this temp range",50,0,50
"3","2/1/2023","87","Arena","Age1 Pcod",7500,0.2,10.41666667,0.434027778,5.3,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,1.5,NA,NA,57,NA,">four years",50,0,50
"4","4/17/2023","60","Pole Barn","15'",15000,0.5,8.333333333,0.347222222,5.4,1,1,0,1,0,0,28500,0,28500,0,1,0,NA,2,NA,NA,57,NA,"3 days",50,0,50
"5","7/25/2023","22","Arena","T1 ",7500,0.3,6.944444444,0.289351852,6.3,1,1,1,0,0,7000,0,0,7000,1,0,0,4,NA,NA,70,NA,NA,"present in tank for years; over a week in this temp range",0,50,50
"6","7/25/2023","78","Pole Barn","Age 7 WP Port Townsend",15000,0.5,8.333333333,0.347222222,10.6,1,1,0,0,1,0,0,27560,27560,0,0,1,NA,NA,7,NA,NA,26,"present in tank for years; over a week in this temp range",50,50,0
"7","2/1/2023","7","Pole Barn","Age 7 WP Port Townsend",15000,0.2,20.83333333,0.868055556,3.8,1,1,0,0,1,0,0,17550,17550,0,0,1,NA,NA,7,NA,NA,27,">four years",50,50,0
"8","4/21/2023","73","Arena","T2",7500,0.3,6.944444444,0.289351852,4.9,1,1,0,1,0,0,5843.6,0,5843.6,0,1,0,NA,7,NA,NA,2,NA,"3 days",50,0,50
"9","3/17/2023","86","Arena","T1 Age 4 AC (with a visitor)",7500,0.3,6.944444444,0.289351852,3,1,2,1,1,0,4080,500,0,4580,0.890829694,0.109170306,0,4,2,NA,48,1,NA,"3 days",0,0,50
"10","3/8/2023","3","Arena","T1 Age 4 AC",7500,0.2,10.41666667,0.434027778,3,1,1,1,0,0,4080,0,0,4080,1,0,0,4,NA,NA,48,NA,NA,">three years",0,50,50
"11","3/8/2023","59","Arena","T3  eDNA tank - empty ",7500,0.2,10.41666667,0.434027778,4.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"emptied out juvenile p cod 12 weeks prior",50,50,50
"12","4/14/2023","89","Pole Barn","T1 10'",7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,"4 days",50,0,0
"13","4/17/2023","30","Pole Barn","T1 10'",7500,0.3,6.944444444,0.289351852,5,1,2,0,1,1,0,4000,3900,7900,0,0.506329114,0.493670886,NA,7,7,NA,2,6,"7 days",50,0,0
"14","5/5/2023","56","Arena","T2",7500,0.3,6.944444444,0.289351852,5.1,1,2,1,1,0,425,3531.6,0,3956.6,0.107415458,0.892584542,0,4,7,NA,5,1,NA,"4 days",0,0,4
"15","7/25/2023","14","Pole Barn","Age 7 WP Kodiak",7500,0.4,5.208333333,0.217013889,9.9,1,1,0,0,1,0,0,7500,7500,0,0,1,NA,NA,7,NA,NA,6,"present in tank for years; over a week in this temp range",50,50,0
